BANKING,AD-HDFCBK," INR 10,00,000.00 debited to A/c No XX5271 towards chq no. 000327 . Value Date: 28-MAR-18 . Clear Bal. is INR 6,158.13 .",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"1,300.00 TWD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 08-NOV-17 at HO YUN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 37,747.06. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"1,470.00 TWD was spent on your Credit Card 4386XXXXXXXX6617 on 21-AUG-17 at TAIWAN TAXI.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"1,652.00 INR was spent on Card 4386XXXXXXXX4238 on 02-MAY-18 at LINKEDIN. FX charges as per TnC. Available credit limit is now Rs. 774,156.52.",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"1,652.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 02-DEC-17 at LINKEDIN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 823,808.72. It is mandatory to update your Aadhaar number on your Credit Card by 31st Dec 2017. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"1,652.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 02-FEB-18 at LINKEDIN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 847,442.89. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"1,695.00 INR was spent on Card 4386XXXXXXXX4238 on 04-MAY-18 at DREAMSTIME.COM INR. FX charges as per TnC. Available credit limit is now Rs. 754,464.01.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"1,695.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 03-FEB-18 at DREAMSTIME.COM INR. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 844,990.41. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"1,695.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-APR-18 at DREAMSTIME.COM INR. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 804,760.12.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"1,695.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 05-JAN-18 at DREAMSTIME.COM INR. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 787,312.01. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"1,695.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 05-MAR-18 at DREAMSTIME.COM INR. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 581,828.14. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"1,865.00 TWD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 22-AUG-17 at TAIWAN TAXI. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 734,844.36. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,1.00 USD was spent on your Credit Card 4386XXXXXXXX4238 on 30-JUL-17 at GOOGLE *SERVICES.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"10.00 USD was spent on Card 4386XXXXXXXX4238 on 01-MAY-18 at VULTR. FX charges as per TnC. Available credit limit is now Rs. 775,808.52.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-APR-18 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 816,150.54.",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-DEC-17 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 825,460.72. It is mandatory to update your Aadhaar number on your Credit Card by 31st Dec 2017. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-FEB-18 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 849,094.89. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-JAN-18 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 794,603.54. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-MAR-18 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 618,353.68. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-NOV-17 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 824,959.58. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"10.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 01-OCT-17 at Vultr.com. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 815,150.37. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,IM-CITIBK,"10.99 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 11-DEC-17 at AmazonPrime Membersh. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 392,334.13. It is mandatory to update your Aadhaar number on your Credit Card by 31st Dec 2017. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"10.99 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 11-FEB-18 at AmazonPrime Membersh. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 66,146.81. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VM-HDFCBK,1000.00 is credited to A/c ******1927 on 03-05-2017 09:47:56 for UPI/712309474868/binoytv9@upi,,,,,,,,,,,,,,,,,,
BANKING,VMHDFCBK,1000.00 is debited from ******3900 on 22-04-2017 02:15:24 for UPI/711202993735/9746471746@icici,,,,,,,,,,,,,,,,,,
BANKING,VMHDFCBK,10000.00 is debited from ******3900 on 15-05-2017 00:08:33 for UPI/713500962578/@icici,,,,,,,,,,,,,,,,,,
BANKING,VKHDFCBK0,10000.00 is debited from ******3900 on 30-03-2017 12:54:57 for UPI/708912941384/@icici,,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"11,158.39 INR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 08-NOV-17 at Taipei Fullerton Hot. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 15,011.14. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"11,577.53 INR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 08-NOV-17 at Taipei Fullerton Hot. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 26,169.53. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"11.80 USD was spent on Card 4386XXXXXXXX4238 on 03-MAY-18 at ATLASSIAN. FX charges as per TnC. Available credit limit is now Rs. 769,748.06.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"11.80 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 03-APR-18 at ATLASSIAN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 810,646.08.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"11.80 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 03-FEB-18 at ATLASSIAN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 846,685.41. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"11.80 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 03-NOV-17 at ATLASSIAN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 823,055.43. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"11.80 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 03-OCT-17 at ATLASSIAN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 812,767.90. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VM-CITIBK,"11.80 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 03-SEP-17 at ATLASSIAN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 831,185.44. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,11.80 USD was spent on your Credit Card 4386XXXXXXXX4238 on 03-AUG-17 at ATLASSIAN.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"12,294.72 INR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 09-NOV-17 at Taipei Fullerton Hot. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 2,716.42. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VM-CITIBK,"125.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 08-JAN-18 at STK*SHUTTERSTOCK, IN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 253,023.25. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"125.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 12-FEB-18 at STK*SHUTTERSTOCK, IN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 58,092.32. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"125.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 15-NOV-17 at STK*SHUTTERSTOCK, IN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 510,091.74. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VM-CITIBK,"125.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 15-SEP-17 at STK*SHUTTERSTOCK, IN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 758,226.62. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"125.00 USD was spent on your Credit Card 4386XXXXXXXX6617 on 22-JUL-17 at STK*SHUTTERSTOCK, IN.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"13.80 MYR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 25-SEP-17 at STARBUCKS - PRANGIN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 214,280.09. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,15.00 USD was spent on your Credit Card 4386XXXXXXXX4238 on 10-MAY-17 at Vultr.com.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"154.00 CNY was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 11-OCT-17 at CUI HUA CAN TING. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 323,797.99. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"17,159.02 INR was spent on your Credit Card 4386XXXXXXXX6617 on 19-JUL-17 at AIP*HeXin Hotel.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"2,000.00 TWD was spent on your Credit Card 4386XXXXXXXX6617 on 30-MAY-17 at HOLIDAY INN EAST TAI.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
